交叉率 突然変異率 平均最良評価値 最良評価値分散 平均実行時間 実行時間分散
0.00 0.100 0.100 9898382.189315 548063578562.230042 2.466800 0.018684
0.00 0.100 0.200 9734918.422855 324968700386.210083 2.510400 0.010888
0.00 0.100 0.500 8988760.622148 456528995138.148193 2.569133 0.084427
0.00 0.100 1.000 8932246.596998 535872028491.085388 3.022567 0.031889
0.00 0.200 0.000 15217995.008746 882777980398.353394 2.438067 0.014683
0.00 0.200 0.001 14263906.125109 731879952203.796387 2.418467 0.011277
0.00 0.200 0.002 13406830.055442 851877969692.286621 2.469467 0.028095
0.00 0.200 0.005 12607550.325980 870856438260.497314 2.428500 0.016088
0.00 0.200 0.010 11819694.922084 730146295968.477661 2.481733 0.027519
0.00 0.200 0.020 11245960.032964 991012663709.728027 2.520067 0.002516
0.00 0.200 0.050 10621966.949070 575655592574.002686 2.551033 0.002245
0.00 0.200 0.100 10024742.809070 429260333967.775757 2.644067 0.010183
0.00 0.200 0.200 9464680.687895 656220774715.999634 2.760567 0.003890
0.00 0.200 0.500 9385195.979601 682540078122.316162 2.998667 0.003744
0.00 0.200 1.000 8765586.130416 255680997239.103516 3.376500 0.002911
0.00 0.500 0.000 15287272.717215 703784212620.358521 2.797100 0.005276
0.00 0.500 0.001 14732434.475179 684192358820.156860 2.810533 0.008965
0.00 0.500 0.002 15027178.022945 619420895710.606934 2.913733 0.006962
0.00 0.500 0.005 14426113.422103 1223286825662.301514 2.901433 0.031822
0.00 0.500 0.010 13967331.019348 963866062931.283203 2.847200 0.004980
0.00 0.500 0.020 13667720.043477 659947280466.669067 2.852133 0.011654
0.00 0.500 0.050 12799942.384182 694215504571.658691 792.429867 18093862.461337
0.00 0.500 0.100 11951162.202693 442148126308.959717 0.905100 0.011426
